Change Component Designator: Old Designator=C607 New Designator=C608
Change Component Designator: Old Designator=C608 New Designator=C607
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
Change Component Designator: Old Designator=U? New Designator=U600
