Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=PARTNO~String~PARTNO~100|Field=PartType~String~PartType~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~172|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~qfc_Alfa1.0.PrjPcb|ReportField=ProjectFullPath~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\qfc_Alfa1.0.PrjPcb|ReportField=Title~Bill of Materials For Project [qfc_Alfa1.0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~216|ReportField=ReportTime~17:50:30|ReportField=ReportDate~2017/7/22|ReportField=ReportDateTime~2017/7/22 17:50:30|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/7/22|ReportField=CurrentTime~17:40:39|ReportField=Date~2017/06/29|ReportField=DocumentFullPathAndName~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\sch\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~ÿ¡‘¿ˆŒ|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/7/18|ReportField=Organization~|ReportField=ProjectName~qfc_Alfa1.0.PrjPcb|ReportField=Revision~Alfa 0.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~19:01|ReportField=Title~Your title|ReportField=DataSourceFileName~qfc_Alfa1.0.PrjPcb|ReportField=DataSourceFullPath~E:\PCB_Board\qfc_hardware\qfc_Alfa1.0\qfc_Alfa1.0.PrjPcb
47346-0001|MICRO USB B, BOTTOM MOUNT|J509|MOLEX-47346-0001|MOLEX-47346-0001|0473460001|47346-0001|WM17141DKR-ND|1
Schottky barrier diode|DIODE SCHOTTKY 30V 0.03A SOD323|D600|SOD323|DIODE-SCHOTTKY_SOD323|RB751V40T1G|Schottky barrier diode|RB751V40T1GOSCT-ND|1
NUF2042XV6|IC FILTER USB ESD PROTECT SOT363|U503|SOT563-6|NUF2042XV6|NUF2042XV6T1G|NUF2042XV6|NUF2042XV6T1GOSDKR-ND|1
MMBT3906*SMD|TRANSISTOR SWITCHING PNP SOT-23|Q200|SOT23-BEC|MMBT3906*SMD|MMBT 3906 LT1|MMBT3906*SMD|MMBT3906LT1INCT-ND|1
LT3469|IC AMP DVR W/REG 1.3MHZ TSOT23-8|U402|SOT23-8|LT3469||LT3469|LT3469ETS8#TRMPBFCT-ND|1
MPU-6000|GYRO/ACCELEROMETER 6AXIS 24QFN|U302|QFN-24|MPU-6000|MPU-6000|MPU-6000|1428-1005-1-ND|1
0R|RES 10 OHM 1/10W 5% 0603|R210|0603-RES|RESISTOR0603-RES|RC1608J100CS|0R|1276-5014-1-ND|1
100K|RES 10 OHM 1/10W 5% 0603|R414, R528, R529, R530, R531, R532|0603-RES|RESISTOR0603-RES|RC1608J100CS|100K|1276-5014-1-ND|6
105K|RES 10 OHM 1/10W 5% 0603|R212, R215, R218|0603-RES|RESISTOR0603-RES|RC1608J100CS|105K|1276-5014-1-ND|3
10K|RES 10 OHM 1/10W 5% 0603|R202, R203, R219, R227, R407, R413, R601|0603-RES|RESISTOR0603-RES|RC1608J100CS|10K|1276-5014-1-ND|7
10K/0.1%|RES 10 OHM 1/10W 5% 0603|R214, R217, R220, R224, R225, R226, R500, R503, R512, R513, R516|0603-RES|RESISTOR0603-RES|RC1608J100CS|10K/0.1%|1276-5014-1-ND|11
10R|RES 10 OHM 1/10W 5% 0603|R201|0603-RES|RESISTOR0603-RES|RC1608J100CS|10R|1276-5014-1-ND|1
120R|RES 10 OHM 1/10W 5% 0603|R521, R522|0603-RES|RESISTOR0603-RES|RC1608J100CS|120R|1276-5014-1-ND|2
16K5|RES 10 OHM 1/10W 5% 0603|R221, R222, R223, R409|0603-RES|RESISTOR0603-RES|RC1608J100CS|16K5|1276-5014-1-ND|4
